kegg_function,kegg
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.3.1.19
SCFA biosynthesis,2.7.2.7
SCFA biosynthesis,2.7.2.14
SCFA biosynthesis,2.3.1.8
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,2.3.1.9
SCFA biosynthesis,2.3.1.16
SCFA biosynthesis,1.1.1.36
SCFA biosynthesis,4.2.1.55
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,1.4.1.2
SCFA biosynthesis,1.1.1.399
SCFA biosynthesis,2.8.3.12
SCFA biosynthesis,4.2.1.167
SCFA biosynthesis,7.2.4.5
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,5.4.3.2
SCFA biosynthesis,5.4.3.3
SCFA biosynthesis,1.4.1.11
SCFA biosynthesis,2.3.1.247
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.9
SCFA biosynthesis,2.8.3.18
SCFA biosynthesis,1.2.1.76
SCFA biosynthesis,1.1.1.61
SCFA biosynthesis,2.8.3.M6
SCFA biosynthesis,4.2.1.120
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,1.4.1.2
SCFA biosynthesis,1.1.1.399
SCFA biosynthesis,2.8.3.12
SCFA biosynthesis,4.2.1.167
SCFA biosynthesis,7.2.4.5
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,1.4.1.2
SCFA biosynthesis,1.1.1.399
SCFA biosynthesis,2.8.3.12
SCFA biosynthesis,4.2.1.167
SCFA biosynthesis,7.2.4.5
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.8.3.8
SCFA biosynthesis,4.2.1.28
SCFA biosynthesis,1.1.1.1
SCFA biosynthesis,1.2.1.87
SCFA biosynthesis,2.3.1.222
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.7
SCFA biosynthesis,2.7.2.14
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,4.3.1.19
SCFA biosynthesis,2.3.1.222
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.7
SCFA biosynthesis,2.7.2.14
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,2.1.3.1
SCFA biosynthesis,1.1.1.37
SCFA biosynthesis,4.2.1.2
SCFA biosynthesis,1.3.5.1
SCFA biosynthesis,2.8.3.27
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,4.2.1.54
SCFA biosynthesis,1.3.1.95
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,2.6.1.2
SCFA biosynthesis,1.1.1.28
SCFA biosynthesis,2.8.3.1
SCFA biosynthesis,4.2.1.54
SCFA biosynthesis,1.3.1.95
SCFA biosynthesis,2.8.3.1
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K00164
Organic anion biosynthesis,K00658
Organic anion biosynthesis,K01616
Organic anion biosynthesis,K00382
Organic anion biosynthesis,K00174
Organic anion biosynthesis,K00175
Organic anion biosynthesis,K01902
Organic anion biosynthesis,K01903
Organic anion biosynthesis,K01899
Organic anion biosynthesis,K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234
Organic anion biosynthesis,K00235
Organic anion biosynthesis,K00236
Organic anion biosynthesis,K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239
Organic anion biosynthesis,K00240
Organic anion biosynthesis,K00241
Organic anion biosynthesis,K00244
Organic anion biosynthesis,K00245
Organic anion biosynthesis,K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677
Organic anion biosynthesis,K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K00164+K00658
Organic anion biosynthesis,K01616+K00382
Organic anion biosynthesis,K00174
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K01899+K01900
Organic anion biosynthesis,K18118
Organic anion biosynthesis,K00234+K00235+K00236+K00237
Organic anion biosynthesis,K25801
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K00244+K00245+K00246
Organic anion biosynthesis,K01676
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00026
Organic anion biosynthesis,K00025
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K00116
Organic anion biosynthesis,K01580
Organic anion biosynthesis,K13524
Organic anion biosynthesis,K07250
Organic anion biosynthesis,K00823
Organic anion biosynthesis,K16871
Organic anion biosynthesis,K00135
Organic anion biosynthesis,K00139
Organic anion biosynthesis,K17761
Organic anion biosynthesis,K00169+K00170+K00171+K00172
Organic anion biosynthesis,K01007
Organic anion biosynthesis,K01595
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K00239+K00240
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K15038
Organic anion biosynthesis,K15017
Organic anion biosynthesis,K14465
Organic anion biosynthesis,K14467
Organic anion biosynthesis,K18861
Organic anion biosynthesis,K14534
Organic anion biosynthesis,K15016
Organic anion biosynthesis,K00626
Organic anion biosynthesis,K02160+K01961+K01962+K01963
Organic anion biosynthesis,K14468
Organic anion biosynthesis,K14469
Organic anion biosynthesis,K15052
Organic anion biosynthesis,K05606
Organic anion biosynthesis,K01847
Organic anion biosynthesis,K01848+K01849
Organic anion biosynthesis,K14471+K14472
Organic anion biosynthesis,K00239+K00240+K00241
Organic anion biosynthesis,K01679
Organic anion biosynthesis,K08691
Organic anion biosynthesis,K14449
Organic anion biosynthesis,K14470
Organic anion biosynthesis,K09709
Organic anion biosynthesis,K00169+K00170+K00171+K00172
Organic anion biosynthesis,K01959+K01960
Organic anion biosynthesis,K00024
Organic anion biosynthesis,K01677+K01678
Organic anion biosynthesis,K18209+K18210
Organic anion biosynthesis,K01902+K01903
Organic anion biosynthesis,K00174+K00175+K00176+K00177
Organic anion biosynthesis,K01647
Organic anion biosynthesis,K05942
Organic anion biosynthesis,K01681
Organic anion biosynthesis,K01682
Organic anion biosynthesis,K00031
Organic anion biosynthesis,K00030
Organic anion biosynthesis,K00164+K00658
Organic anion biosynthesis,K01616+K00382
